transaction_id,sender_account_id,receiver_account_id,transaction_amount,transaction_timestamp,transaction_type,payment_channel,merchant_category,transaction_status,currency,device_id,session_id,user_id,account_age_days,current_balance,account_type,age,occupation,monthly_income,home_country,kyc_status,device_type,registered_device_match,rooted_device,emulator_detected,app_version,authentication_method,otp_verified,biometric_verified,failed_pin_attempts,session_duration,session_trust_score,sim_binding_verified,average_transaction_amount,previous_transaction_timestamp,transactions_last_1h,transactions_last_24h,international_transaction_history,last_transaction_latitude,last_transaction_longitude,last_transaction_city,hour_of_day,day_of_week,market_volatility_index,recipient_seen_before,recipient_verified,recipient_account_age_days,recipient_country,latitude,longitude,city,country,ip_country,RecipientGNNScore,is_fraud
TXN000000062,ACC0044877,ACC0108626,3355.25,05/08/2025 22:47,P2M,Debit Card,Utilities,Success,INR,DEV0041262,SES00412799,USR034397,1640,9648,Salary,75,Retired,22359,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,PIN,TRUE,FALSE,0,267,0.96,TRUE,2502.62,24/12/2025 23:03,3,17,FALSE,17.386227,78.481575,Hyderabad,22,Tuesday,12.94,0,1,3439,India,17.386227,78.481575,Hyderabad,India,India,,0
TXN000000145,ACC0113978,ACC0070986,360.68,07/08/2025 09:20,P2P,UPI,Shopping,Success,INR,DEV0105012,SES01051062,USR087541,1507,20220,Current,57,Homemaker,18764,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Password + OTP,TRUE,FALSE,0,40,0.96,TRUE,1285.67,30/12/2025 02:11,2,8,FALSE,13.099636,80.267209,Chennai,9,Thursday,17.76,1,1,973,India,13.099636,80.267209,Chennai,India,India,,0
TXN000000195,ACC0051949,ACC0003579,890.78,09/08/2025 12:02,P2M,UPI,Utilities,Success,INR,DEV0047769,SES00478157,USR039823,2718,20929,Salary,61,Homemaker,19476,India,Pending,iPhone,TRUE,FALSE,FALSE,2.0.0,Password,TRUE,FALSE,0,109,0.93,TRUE,3824.26,28/08/2025 17:19,0,12,FALSE,23.027151,72.581682,Ahmedabad,12,Saturday,20.32,1,1,1912,India,23.027151,72.581682,Ahmedabad,India,India,,0
TXN000000218,ACC0017916,ACC0044510,3571.38,08/08/2025 23:15,P2P,RTGS,Salary,Success,INR,DEV0016447,SES00164503,USR013741,248,158466,Savings,44,Salaried Employee,48399,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Password,TRUE,TRUE,0,157,0.93,TRUE,2035.78,20/09/2025 17:17,0,5,FALSE,18.513034,73.864665,Pune,23,Friday,18.91,1,1,727,India,18.513034,73.864665,Pune,India,India,,0
TXN000000224,ACC0012180,ACC0025048,4771.63,08/08/2025 07:09,P2M,NEFT,Restaurant,Success,INR,DEV0011178,SES00112083,USR009352,772,36219,Business,30,Salaried Employee,62053,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Biometric + OTP,TRUE,TRUE,0,70,0.89,TRUE,2011.73,21/10/2025 08:07,4,15,FALSE,18.525395,73.84675,Pune,7,Friday,23.75,1,1,1771,India,18.525395,73.84675,Pune,India,India,,0
TXN000000274,ACC0069878,ACC0026373,794.59,09/08/2025 15:48,P2P,Debit Card,Healthcare,Success,INR,DEV0064335,SES00644483,USR053627,1235,554766,Current,32,Self-employed,127468,India,Verified,Android,TRUE,FALSE,FALSE,1.2.0,Password,TRUE,TRUE,0,525,0.97,TRUE,1885.75,30/11/2025 21:02,4,6,FALSE,18.501547,73.849644,Pune,15,Saturday,11.43,1,1,1053,India,18.501547,73.849644,Pune,India,India,,0
TXN000000581,ACC0025888,ACC0069840,1282.35,09/08/2025 10:15,Bank Transfer,UPI,Restaurant,Success,INR,DEV0023841,SES00238676,USR019835,2263,229612,Salary,35,Homemaker,14110,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,Password + OTP,TRUE,FALSE,0,372,0.98,TRUE,1884.3,30/12/2025 16:13,4,1,FALSE,23.011568,72.586475,Ahmedabad,10,Saturday,18.13,1,0,1197,India,23.011568,72.586475,Ahmedabad,India,India,,0
TXN000000607,ACC0017621,ACC0072455,1316.52,04/08/2025 03:47,P2M,Debit Card,Healthcare,Success,INR,DEV0016181,SES00161888,USR013519,3646,308771,Salary,25,Salaried Employee,167781,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Password + OTP,TRUE,FALSE,3,214,0.88,TRUE,4095.39,09/11/2025 17:43,1,15,FALSE,28.548389,77.39241,Noida,3,Monday,23.17,0,1,3495,India,28.548389,77.39241,Noida,India,India,,0
TXN000000611,ACC0074740,ACC0031293,6093.6,08/08/2025 00:22,P2M,IMPS,Rent,Success,INR,DEV0068822,SES00689497,USR057369,1690,133499,Business,50,Salaried Employee,44781,India,Verified,Android,TRUE,FALSE,FALSE,2.0.0,Biometric,TRUE,FALSE,0,292,0.94,TRUE,2421.92,24/12/2025 12:30,0,17,FALSE,23.026821,72.588693,Ahmedabad,0,Friday,22.73,0,1,3436,India,23.026821,72.588693,Ahmedabad,India,India,,0
TXN000000614,ACC0086149,ACC0092040,2576.57,07/08/2025 02:23,P2M,UPI,Restaurant,Success,INR,DEV0079305,SES00794709,USR066123,581,58449,Salary,32,Salaried Employee,28758,India,Verified,Android,TRUE,FALSE,FALSE,1.1.0,Password + OTP,TRUE,FALSE,3,278,0.96,TRUE,1406.1,07/08/2025 02:23,2,7,FALSE,13.068379,80.273771,Chennai,2,Thursday,29.59,1,1,204,India,13.068379,80.273771,Chennai,India,India,,0
